index_date;pig_iron_(tonne)
2000-01-01;2176.19055196995
2000-02-01;2282.26444407489
2000-03-01;2250.5152658939
2000-04-01;2346.92672184776
2000-05-01;2313.88482159677
2000-06-01;2351.75908333273
2000-07-01;2323.24344869104
2000-08-01;2326.39530807164
2000-09-01;2324.73362714525
2000-10-01;2339.56041712978
2000-11-01;2394.57113892186
2000-12-01;2214.7599726852
2001-01-01;2455.05125451852
2001-02-01;2428.40019016856
2001-03-01;2443.39687139909
2001-04-01;2498.34292068194
2001-05-01;2266.10101282084
2001-06-01;1967.94365298801
2001-07-01;1977.43387123805
2001-08-01;2188.5229368033
2001-09-01;2294.51636674503
2001-10-01;2244.39851207936
2001-11-01;2285.8265388882
2001-12-01;2329.05141605385
2002-01-01;2349.06898685664
2002-02-01;2352.86402964317
2002-03-01;2376.30543073422
2002-04-01;2320.9301973417
2002-05-01;2472.33379822985
2002-06-01;2479.19793076885
2002-07-01;2504.490414145
2002-08-01;2520.35313151049
2002-09-01;2578.64926087698
2002-10-01;2577.60143707805
2002-11-01;2575.69191341174
2002-12-01;2561.08071721946
2003-01-01;2521.28929421958
2003-02-01;2548.24342873079
2003-03-01;2631.74667946828
2003-04-01;2622.02442843337
2003-05-01;2707.76228198235
2003-06-01;2771.11910345813
2003-07-01;2753.51232467495
2003-08-01;2758.88094163862
2003-09-01;2691.54096678448
2003-10-01;2573.23977657387
2003-11-01;2693.40048552258
2003-12-01;2731.74565037542
2004-01-01;2844.96969805815
2004-02-01;2862.26748399167
2004-03-01;2851.20167350894
2004-04-01;2911.15074016951
2004-05-01;2861.17438149522
2004-06-01;2980.88008063356
2004-07-01;2891.10605420402
2004-08-01;2852.05673676458
2004-09-01;2876.34528439891
2004-10-01;2822.53332285582
2004-11-01;2879.78238201907
2004-12-01;2915.50280140334
2005-01-01;2849.48243730707
2005-02-01;2988.72816800868
2005-03-01;2935.07605327201
2005-04-01;3072.17484083269
2005-05-01;2985.17809307624
2005-06-01;2614.33540400014
2005-07-01;2839.44855974264
2005-08-01;2832.19877779123
2005-09-01;2807.16935399706
2005-10-01;2886.81742329451
2005-11-01;2802.89853798668
2005-12-01;2721.56276004361
2006-01-01;2621.01469332052
2006-02-01;2458.27220975677
2006-03-01;2550.56437597612
2006-04-01;2629.91454722198
2006-05-01;2504.81250558747
2006-06-01;2525.94000471175
2006-07-01;2829.63115347975
2006-08-01;2827.23013225143
2006-09-01;2855.75081002281
2006-10-01;2844.01124695586
2006-11-01;2828.05346680983
2006-12-01;2801.22871721298
2007-01-01;2881.3285687185
2007-02-01;2695.52584288411
2007-03-01;2930.48841991714
2007-04-01;2839.5969733872
2007-05-01;3018.20950066594
2007-06-01;2926.970226578
2007-07-01;2933.12123803285
2007-08-01;2981.26502951336
2007-09-01;2946.69644096369
2007-10-01;2987.75000764586
2007-11-01;3031.64622639847
2007-12-01;3168.95610470621
2008-01-01;3243.84656787205
2008-02-01;3113.51866071194
2008-03-01;3101.382332954
2008-04-01;3100.79340257989
2008-05-01;3157.7680631201
2008-06-01;3194.70057217911
2008-07-01;3192.68710397016
2008-08-01;3197.18912289929
2008-09-01;3133.88646132726
2008-10-01;2991.99110001033
2008-11-01;2331.79801192779
2008-12-01;1760.36327903112
2009-01-01;1693.51096179469
2009-02-01;1807.10650328754
2009-03-01;1652.92365941246
2009-04-01;1712.82654045299
2009-05-01;1696.38988285362
2009-06-01;1771.61271406892
2009-07-01;2155.3523976113
2009-08-01;2415.65791744363
2009-09-01;2549.82122150758
2009-10-01;2706.70907567711
2009-11-01;2689.30927099383
2009-12-01;2611.94866162099
2010-01-01;2677.47230131201
2010-02-01;2634.05312940187
2010-03-01;2718.26568727743
2010-04-01;2644.17404780768
2010-05-01;2617.9676724523
2010-06-01;2735.9227819118
2010-07-01;2606.24328258309
2010-08-01;2542.83139102451
2010-09-01;2651.88374609164
2010-10-01;2640.44585247742
2010-11-01;2556.01322445265
2010-12-01;2453.00017148602
2011-01-01;2685.72289665474
2011-02-01;2786.04044257756
2011-03-01;2814.77898278533
2011-04-01;2843.69392381705
2011-05-01;3104.16132741194
2011-06-01;2808.24893116801
2011-07-01;2858.54325672468
2011-08-01;2250.08268466998
2011-09-01;2136.29679957273
2011-10-01;2053.97656720012
2011-11-01;2221.02180453922
2011-12-01;2239.21526630552
2012-01-01;2255.03023669266
2012-02-01;2329.96327935216
2012-03-01;2364.0155816634
2012-04-01;2371.7351795124
2012-05-01;2247.10458745276
2012-06-01;2208.90317368955
2012-07-01;2244.03277542417
2012-08-01;2106.94578470088
2012-09-01;2180.32418297029
2012-10-01;2303.06060055684
