index_date,pig_iron_(thousand_tons)
2000-02-01,7.599999999999909
2000-03-01,145.0999999999999
2000-04-01,-90.5
2000-05-01,99.0
2000-06-01,-26.5
2000-07-01,14.0
2000-08-01,65.40000000000009
2000-09-01,-44.20000000000027
2000-10-01,62.80000000000018
2000-11-01,10.800000000000182
2000-12-01,-97.60000000000036
2001-01-01,131.10000000000036
2001-02-01,-131.4000000000001
2001-03-01,193.5999999999999
2001-04-01,-125.69999999999982
2001-05-01,-101.40000000000009
2001-06-01,-358.10000000000014
2001-07-01,58.700000000000045
2001-08-01,272.1999999999998
2001-09-01,58.40000000000009
2001-10-01,-4.699999999999818
2001-11-01,-6.5
2001-12-01,128.29999999999973
2002-01-01,-95.09999999999991
2002-02-01,-109.90000000000009
2002-03-01,205.4000000000001
2002-04-01,-226.5
2002-05-01,286.0999999999999
2002-06-01,-56.5
2002-07-01,90.80000000000018
2002-08-01,77.59999999999991
2002-09-01,2.200000000000273
2002-10-01,46.79999999999973
2002-11-01,-61.40000000000009
2002-12-01,74.90000000000009
2003-01-01,-165.29999999999973
2003-02-01,-104.0
2003-03-01,268.89999999999964
2003-04-01,-156.89999999999964
2003-05-01,213.79999999999973
2003-06-01,-4.299999999999727
2003-07-01,80.79999999999973
2003-08-01,67.59999999999991
2003-09-01,-133.79999999999973
2003-10-01,-71.59999999999991
2003-11-01,46.29999999999973
2003-12-01,128.30000000000018
2004-01-01,-21.0
2004-02-01,-135.0
2004-03-01,184.69999999999982
2004-04-01,-71.90000000000009
2004-05-01,82.20000000000027
2004-06-01,41.69999999999982
2004-07-01,44.40000000000009
2004-08-01,28.90000000000009
2004-09-01,-61.20000000000027
2004-10-01,-4.599999999999909
2004-11-01,-35.40000000000009
2004-12-01,132.0
2005-01-01,-197.79999999999973
2005-02-01,-45.09999999999991
2005-03-01,147.0999999999999
2005-04-01,21.59999999999991
2005-05-01,43.19999999999982
2005-06-01,-449.0
2005-07-01,392.10000000000036
2005-08-01,65.89999999999964
2005-09-01,-126.09999999999991
2005-10-01,117.40000000000009
2005-11-01,-183.30000000000018
2005-12-01,20.0
2006-01-01,-225.89999999999964
2006-02-01,-365.3000000000002
2006-03-01,290.5999999999999
2006-04-01,-32.69999999999982
2006-05-01,8.199999999999818
2006-06-01,-54.40000000000009
2006-07-01,485.60000000000036
2006-08-01,74.89999999999964
2006-09-01,-78.69999999999982
2006-10-01,24.09999999999991
2006-11-01,-124.69999999999982
2006-12-01,73.90000000000009
2007-01-01,-29.100000000000364
2007-02-01,-406.89999999999964
2007-03-01,436.2999999999997
2007-04-01,-204.29999999999973
2007-05-01,299.89999999999964
2007-06-01,-141.69999999999982
2007-07-01,185.0
2007-08-01,118.59999999999991
2007-09-01,-129.69999999999982
2007-10-01,71.09999999999991
2007-11-01,-82.5
2007-12-01,234.0999999999999
2008-01-01,-15.0
2008-02-01,-343.6999999999998
2008-03-01,192.79999999999973
2008-04-01,-122.59999999999991
2008-05-01,167.80000000000018
2008-06-01,7.400000000000091
2008-07-01,156.0
2008-08-01,66.29999999999973
2008-09-01,-150.4000000000001
2008-10-01,-99.5
2008-11-01,-812.5999999999999
2008-12-01,-477.5999999999999
2009-01-01,-133.5999999999999
2009-02-01,-83.40000000000009
2009-03-01,58.40000000000009
2009-04-01,-61.40000000000009
2009-05-01,61.40000000000009
2009-06-01,68.69999999999982
2009-07-01,519.5999999999999
2009-08-01,305.7000000000003
2009-09-01,58.19999999999982
2009-10-01,217.9000000000001
2009-11-01,-195.5
2009-12-01,10.199999999999818
2010-01-01,13.400000000000091
2010-02-01,-204.4000000000001
2010-03-01,292.2000000000003
2010-04-01,-174.0999999999999
2010-05-01,15.899999999999636
2010-06-01,107.10000000000036
2010-07-01,-11.200000000000273
2010-08-01,-25.799999999999727
2010-09-01,39.79999999999973
2010-10-01,77.90000000000009
2010-11-01,-284.3000000000002
2010-12-01,-23.5
2011-01-01,188.30000000000018
2011-02-01,-40.80000000000018
2011-03-01,247.20000000000027
2011-04-01,-54.09999999999991
2011-05-01,268.89999999999964
2011-06-01,-312.6999999999998
2011-07-01,161.69999999999982
2011-08-01,-576.3999999999996
2011-09-01,-174.20000000000027
2011-10-01,19.300000000000182
2011-11-01,-46.20000000000027
2011-12-01,96.40000000000009
2012-01-01,-26.90000000000009
2012-02-01,-60.29999999999973
2012-03-01,261.4000000000001
2012-04-01,-62.100000000000364
2012-05-01,-119.69999999999982
2012-06-01,-79.90000000000009
2012-07-01,145.5999999999999
2012-08-01,-98.89999999999964
2012-09-01,5.099999999999909
2012-10-01,235.5999999999999
2012-11-01,-261.8000000000002
2012-12-01,6.300000000000182
2013-01-01,-8.458999999999833
2013-02-01,-178.5400000000002
2013-03-01,158.04600000000005
2013-04-01,82.33399999999983
2013-05-01,0.18600000000014916
2013-06-01,-117.03900000000021
2013-07-01,90.06700000000001
2013-08-01,95.30500000000029
2013-09-01,-64.26800000000003
2013-10-01,3.6700000000000728
2013-11-01,-192.5930000000003
2013-12-01,138.308
2014-01-01,-90.5649999999996
2014-02-01,-153.88800000000015
2014-03-01,288.9379999999999
2014-04-01,-161.71099999999979
2014-05-01,105.59699999999975
2014-06-01,21.378000000000156
2014-07-01,153.85399999999981
2014-08-01,84.19100000000026
2014-09-01,-23.13700000000017
2014-10-01,16.572999999999865
2014-11-01,-272.33299999999963
2014-12-01,288.663
2015-01-01,49.685999999999694
2015-02-01,-328.42599999999993
2015-03-01,106.4409999999998
2015-04-01,93.38900000000012
2015-05-01,80.51299999999992
2015-06-01,-108.83199999999988
