index_date,pig_iron_(tonne)_forecast
2021-12-01,2409.2867968589485
2022-01-01,2401.450363076584
2022-02-01,2265.4148889468256
2022-03-01,2364.9404813169826
2022-04-01,2317.0784952474664
2022-05-01,2349.6130277830202
2022-06-01,2317.0068585291965
2022-07-01,2390.5331562448605
2022-08-01,2419.4185681514255
2022-09-01,2386.317050585882
2022-10-01,2437.156179357086
2022-11-01,2388.678239786505
